Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,473,0,36,67.77030866194775,22.093987005064264,621.5793479932472,10910.217758985202,0.5264773335914094,0.0,36,60,94,110,140,190,230,260,620,620,620
GET,/cart,1277,0,29,45.49024998898971,16.278773997328244,676.8328320031287,13881.619420516836,1.421377494706617,0.0,29,38,50,61,91,120,170,220,680,680,680
POST,/cart,1312,0,68,74.97261311672024,23.904552988824435,999.5104480040027,18474.314786585364,1.4603345912725774,0.0,68,88,96,100,120,170,200,210,890,1000,1000
POST,/cart/checkout,451,3,66,72.14202928146969,18.574126006569713,479.1835619980702,6977.514412416852,0.5019900157499485,0.0033391797056537592,66,82,91,96,110,130,190,200,480,480,480
GET,/product/0PUK6V6EV0,633,0,24,39.83252794158775,16.69660500192549,970.5935180099914,8193.627172195893,0.7045669178929431,0.0,24,29,35,46,73,97,150,180,970,970,970
GET,/product/1YMWWN1N4O,565,0,25,42.19892931119765,16.77650198689662,733.2484710059362,8216.98761061947,0.6288788445647913,0.0,25,31,39,50,81,110,160,240,730,730,730
GET,/product/2ZYFJ3GM2N,645,0,25,41.72843550992931,17.016537007293664,795.029415996396,8216.082170542635,0.7179236367155583,0.0,25,31,39,51,79,110,150,190,800,800,800
GET,/product/66VCHSJNUP,668,0,24,38.417271767728295,16.7747049999889,693.5051470063627,8181.0329341317365,0.7435240144589037,0.0,24,29,38,48,76,110,140,180,690,690,690
GET,/product/6E92ZMYYFZ,608,0,25,39.17528042771473,16.998612991301343,520.4390909930225,8169.835526315789,0.6767404203458285,0.0,25,30,39,48,81,100,150,200,520,520,520
GET,/product/9SIQT8TOJO,596,0,25,36.64770311695596,16.921714995987713,247.09280299430247,8225.147651006711,0.6633837015232135,0.0,25,31,39,49,76,98,120,150,250,250,250
GET,/product/L9ECAV7KIM,585,0,25,41.12427125614769,16.83237199904397,839.0600410057232,8188.013675213675,0.651140042602483,0.0,25,30,37,46,75,110,170,200,840,840,840
GET,/product/LS4PSXUNUM,617,0,26,41.54420941663382,17.283587003475986,411.4769370062277,8187.123176661265,0.6867579594627898,0.0,26,34,46,56,89,120,160,190,410,410,410
GET,/product/OLJCESPC7Z,592,0,26,42.8117275862098,16.356211010133848,477.59338199102785,8217.868243243243,0.6589314619156751,0.0,26,34,46,56,85,130,180,200,480,480,480
POST,/setCurrency,837,0,40,65.01757990323527,21.71264599019196,787.8149900061544,10917.399044205496,0.9316311378773988,0.0,40,61,78,89,120,160,280,360,790,790,790
,Aggregated,9859,3,31,50.491513044267116,16.278773997328244,999.5104480040027,10607.538289887412,10.973657572680137,0.0033391797056537592,31,44,62,74,100,130,180,220,730,1000,1000
