Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,5768,0,28,34.62817231938554,20.792081995750777,987.9184099991107,10925.77253814147,0.09508258831574934,0.0,28,31,34,37,49,70,100,120,240,990,990
GET,/cart,17379,0,25,29.51868253719205,15.675149996241089,841.4736620034091,14920.599976983716,0.2864841023473314,0.0,25,29,31,33,41,54,80,100,200,490,840
POST,/cart,17177,0,38,50.31263104736453,23.14761099842144,646.7006970051443,18705.562205274495,0.2831542336164401,0.0,38,50,66,74,90,100,120,140,220,470,650
POST,/cart/checkout,5717,37,49,55.392430987195745,15.901594997558277,502.47572899388615,6978.0626202553785,0.0942418788836926,0.0006099264507078234,49,58,64,69,84,95,110,120,190,500,500
GET,/product/0PUK6V6EV0,8393,0,21,24.644472480927355,16.830665997986216,604.6604129951447,8200.279280352675,0.13835439731866925,0.0,21,23,25,26,32,39,55,74,150,600,600
GET,/product/1YMWWN1N4O,8299,0,22,24.62016217610986,16.325299999152776,449.68733699352015,8221.826364622244,0.136804854443898,0.0,22,23,25,26,32,39,56,75,150,450,450
GET,/product/2ZYFJ3GM2N,8309,0,22,24.715380991806544,16.412475000834092,457.63397800328676,8219.063545553016,0.1369696994305758,0.0,22,23,25,26,32,39,58,74,180,460,460
GET,/product/66VCHSJNUP,8183,0,21,24.638290411422282,16.097628002171405,1090.4770499910228,8185.518758401564,0.13489265259843564,0.0,21,23,25,27,32,39,55,75,150,1100,1100
GET,/product/6E92ZMYYFZ,8371,0,22,24.918127677906526,15.504411996516865,677.162052001222,8176.646517739816,0.1379917383479781,0.0,22,23,25,27,32,40,60,77,180,680,680
GET,/product/9SIQT8TOJO,8376,0,22,24.75669360960911,16.33899599983124,988.6467920005089,8226.333930276982,0.138074160841317,0.0,22,23,25,27,32,39,57,75,180,990,990
GET,/product/L9ECAV7KIM,8182,0,22,24.7147634156831,16.22919000510592,919.9320430052467,8193.41921290638,0.13487616809976788,0.0,22,23,25,27,32,39,56,75,140,920,920
GET,/product/LS4PSXUNUM,8419,0,22,24.767639204536362,16.052244001912186,499.40267499914626,8192.199667418934,0.13878299428403149,0.0,22,23,25,27,32,38,60,79,170,500,500
GET,/product/OLJCESPC7Z,8169,0,21,24.751971800614687,16.11874800073565,465.6491999994614,8224.27616599339,0.13466186961708673,0.0,21,23,25,27,32,39,58,78,170,470,470
POST,/setCurrency,11575,0,31,37.52008202075992,22.759194998798193,1069.230355999025,10924.442159827215,0.19080807207954206,0.0,31,34,37,40,53,74,100,120,390,630,1100
,Aggregated,132317,37,25,31.552699622584324,15.504411996516865,1090.4770499910228,10753.341331801657,2.1811794102245154,0.0006099264507078234,25,30,33,36,51,73,94,110,200,600,1100
