Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1750,0,350.0,431.6249022017137,22.237513000163744,1848.6038119999648,10911.856,2.0436432388616517,0.0,350,430,500,560,870,1100,1400,1600,1700,1800,1800
GET,/cart,4610,0,250.0,310.6850825160504,16.742645999784145,1695.406092000212,14228.67874186551,5.383540189229836,0.0,250,320,370,420,580,810,1000,1200,1500,1700,1700
POST,/cart,4583,0,320.0,403.39275195919794,27.549851999992825,2512.74120700009,18480.61488108226,5.3520096935445425,0.0,320,400,490,510,690,910,1300,1600,2100,2500,2500
POST,/cart/checkout,1543,9,220.0,281.72541846791245,28.936585999872477,2078.1011600001875,6979.412832145172,1.8019094386077303,0.01051016522843135,220,290,310,320,450,680,1100,1500,2000,2100,2100
GET,/product/0PUK6V6EV0,2202,0,230.0,290.1481965045394,17.9844869999215,1759.8036899998988,8196.576748410536,2.571487092556204,0.0,230,290,340,370,520,800,1100,1200,1500,1800,1800
GET,/product/1YMWWN1N4O,2227,0,230.0,301.5858754629559,19.205574999887176,1857.6247189998867,8218.948361023798,2.6006819959685132,0.0,230,290,330,380,580,860,1200,1300,1700,1900,1900
GET,/product/2ZYFJ3GM2N,2184,0,230.0,296.9050744468869,18.829295999694295,1652.6806499996383,8215.171703296703,2.550466762099341,0.0,230,290,330,380,560,820,1100,1300,1600,1700,1700
GET,/product/66VCHSJNUP,2220,0,230.0,295.6285792689165,17.391022000083467,1779.375596999671,8179.53063063063,2.5925074230130667,0.0,230,290,340,370,550,810,1100,1300,1600,1800,1800
GET,/product/6E92ZMYYFZ,2249,0,230.0,287.6034024255245,18.72930700028519,1753.7633380002262,8170.0217874610935,2.6263735109713453,0.0,230,290,320,360,510,780,1100,1300,1600,1800,1800
GET,/product/9SIQT8TOJO,2137,0,230.0,293.15835064810346,18.19309799975599,1785.5787620001138,8223.327562002807,2.4955803436841997,0.0,230,280,330,370,540,830,1100,1300,1600,1800,1800
GET,/product/L9ECAV7KIM,2216,0,220.0,289.27108200134285,19.822234000002936,1733.631345000049,8189.16606498195,2.587836238467097,0.0,220,280,320,360,530,780,1200,1300,1600,1700,1700
GET,/product/LS4PSXUNUM,2150,0,230.0,296.67221096605095,19.495857000038086,1742.2254450002583,8186.862790697674,2.5107616934586003,0.0,230,280,330,370,550,840,1200,1300,1700,1700,1700
GET,/product/OLJCESPC7Z,2246,0,230.0,284.4852229162958,17.44354399988879,1555.8024390002174,8220.632235084595,2.622870122561868,0.0,230,280,320,360,520,770,1100,1200,1500,1600,1600
POST,/setCurrency,3062,0,350.0,379.0871002465717,26.257207000071503,1917.0375620001323,10918.76192031352,3.5757917699396438,0.0,350,410,460,500,610,740,1000,1200,1600,1900,1900
,Aggregated,35379,9,260.0,323.30521621334555,16.742645999784145,2512.74120700009,10633.487888295316,41.31545951296364,0.01051016522843135,260,320,380,420,590,830,1200,1300,1800,2200,2500
0
